Exio prod code,nace-related code,description,unit,AT,AU,BE,BG,BR,CA,CH,CN,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GR,Global,HR,HU,ID,IE,IN,IT,JP,KR,LT,LU,LV,MT,MX,NL,NO,PL,PT,RO,RU,SE,SI,SK,TR,TW,US,WA,WE,WF,WL,WM,ZA
M_Cowpea,01.d,"Cow peas, dry, market of",tonnes,1.3231671818467932,1.871564387,1.7244327727816595,0.69050546,1.1699495742267183,1.291441618676762,1.4635217678242056,3.156108794079972,0.5741303588370584,1.2039408345372524,1.5797828948980412,1.1706439797403378,1.7264872437835146,1.176505260261153,1.6311056096124488,1.358178707919992,1.1875251560781568,1.1652669919959684,0.6905058547978473,0.49480735614215265,0.45939071323358016,1.0297715166018306,1.2043982881050483,0.677822565,1.2008893067669373,3.1733209645273983,1.7860686238645211,0.6905058547978405,1.5797828837530155,0.6905058547978407,1.1699495742267183,1.902865746705957,1.7264872258762665,1.2452282143526194,,1.1699506954430088,0.948993687,1.1699495742267183,1.1003924141401005,,1.1756011293098423,0.997079027,,1.8545512080890303,0.6011095006993593,0.32855068437610235,0.682907309,1.1741685377648163,0.5648720651792687,1.8640834036571114
M_oFru_cit,01.d,"Fruit, citrus nes, market of",tonnes,0.8193817302929771,0.6276340098508315,0.6657330157520145,0.24700723893018134,0.5009834634150059,0.5440351203913611,0.587644918,0.3771363411450875,0.9338743451980279,0.802721335,0.6997343505629894,0.803783156,0.8734793473824904,0.6250748288982093,0.7811813860172782,0.6309389416132456,0.6759266365775507,0.20431418383881203,0.3955677841429588,0.337818415,0.8587159027590392,0.5009834634150059,0.9724096581583952,0.11658179005314999,0.3782689084402075,1.1778649156303609,0.4814183150664233,0.8033961043033522,0.687198168,0.8191165371769361,0.4267567675124939,1.034047057050705,0.8943930285901772,0.7931507629125477,0.679399825,0.6326109617027664,0.6759584552796112,0.344539943,0.7912846238328126,0.5683715797439973,0.8732603720803566,0.38793243974454933,0.005575292,0.344636204,0.4739964813008745,0.4217065556173484,0.3952674839759038,0.7098805294049996,0.2911634960332492,1.0766366480894802
M_Vetcs,01.d,"Vetches, market of",tonnes,0.3757809652551609,0.8009502625614139,,3.853668428094888,,,,,0.067959794,1.3857763529518756,,,,0.8644601258967302,,,,0.5271621418607138,0.904533921,,1.1845827284958563,,,,1.6633781009641342,,,0.6364104217312848,,1.4125777699853157,0.5693091676644039,0.4091715059262309,,,0.8599038522234967,,,0.4301504707752931,,,1.0058651173937097,4.250518450669356,,,,0.5071633730152193,0.6463261953233578,,2.928787068953832,
M_Eggpl,01.d,"Eggplants (aubergines), market of",tonnes,0.3179686698640307,0.3095816884757463,0.3042813780592947,0.2786912000847255,,0.3848909214279596,0.3236377313330545,0.6145610347918756,0.9192974044575626,0.2866567212975984,0.3083017586498395,0.3743297455335522,0.2890760078753541,0.21693707155714778,0.3964012287568255,0.2715212128410248,0.3367887404837263,0.13954287026717066,0.4568892139915662,0.3644178629183564,0.2499636264468668,0.30130089211028355,0.3691167594326583,0.10512261380033204,0.463342256,1.166259845324503,0.8461488480086113,0.615319035,0.3026284097166076,0.29238436,0.3822034507043433,0.39703192011366384,0.4094977652841726,0.4036798901492152,0.3407644184586673,0.3373855222728424,0.18606854709288323,0.292024399,0.3786028892080941,0.379952422,0.28557733,0.4052336754394372,0.004459824,0.4204704053532342,0.31036786559725615,0.2821211193147887,0.14902121941084734,0.8252205962616976,0.32081374904965054,0.1489967836926584
A_Saffd,01.e,Safflower seed,tonnes,,5.012023355,,,,,,1.7209862497375412,,,,,,2.0725071601142515,,,,,,,0.5231157906227871,,,1.8062939993318965,,,,,,,,1.643776256687914,,,,,,1.1777444018318026,,,,1.1884081289070054,,2.6065886329480907,1.546879901894139,2.226539463060078,0.4309994869850095,0.6686424817197238,2.6475639865338345,
M_Talld,01.e,"Tallowtree seed, market of",tonnes,,,,,,,,1.277729158127331,,,,,,,,,,,1.277729158127331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_Mustd,01.e,"Mustard seed, market of",tonnes,0.9285331063935646,1.0593061842633222,0.967682605,4.114075843519651,0.9624309890445025,0.9776891924009381,0.955180223,1.963351410770189,1.0483115293614278,1.1442405702296352,0.9834839470763803,0.8841439897568224,0.9177181545256448,1.0724700835029914,1.1284856923580855,1.299303146860058,1.1325176049507113,1.122500395600487,1.0944989436087065,0.9534282912298846,1.092676929682256,0.8769626995181454,1.0117068439669605,0.8514358724950986,1.056622887086453,0.9840503646408776,1.001518122257148,2.213678299661015,0.9046372805607076,1.4719535124224516,1.4353598887926344,1.4778855586128294,1.0921892720547646,0.8579122099972005,1.043586910161928,1.6070797666031256,0.6882928483278984,0.7253664064851366,0.8847036091685374,1.0298630865092264,1.1181421180660545,0.8637489624056817,1.007757406130002,1.1735036592633885,1.0867737573446623,1.351062475303208,0.9547986751239761,1.0266157864992649,1.1349134110569705,1.0445188702157622
M_Linsd,01.e,"Linseed, market of",tonnes,1.6853053104166675,1.7660444066765406,1.4693217528748217,2.0486445525083723,0.44139004941586185,1.206049783693358,2.1363020352402087,1.8982202432848552,2.4697962055670395,1.9367985229949132,2.2317705155356173,1.899243222,2.2818930863949376,2.563907320027096,1.981848886994872,2.7352278861592603,1.486050953372354,2.2745917392273407,1.654582319103127,1.8942492720099855,1.6174691154471141,1.6544608214110248,1.325181928,1.6277276433633288,1.5302964679601594,1.2756972265967192,1.2640358758516412,2.177651432644605,1.6935851714302468,1.0652627576929097,1.642069024,1.2760674553861373,2.234109254872769,2.740093065549597,1.826656738226113,1.6026433101122357,1.1362992378330878,1.0614634404194236,1.4990182942201495,1.7436275805083403,1.6462520101697358,1.0914678133513325,1.3177569652437282,1.3337962309291274,2.2521185947544957,2.1108349262942276,0.6208311988618932,0.6862773857088951,1.9953482886974174,1.375961813117078
M_Melonse,01.e,"Melonseed, market of",tonnes,3.236293335760565,3.6164192017684114,3.750329048793951,3.7465580105949665,3.711846594194128,3.545446566,3.730292050297012,3.546639845134876,3.6093758873044917,3.2588581885264234,3.752873569829706,3.6474396220212535,3.7490157751547892,3.605583945720976,3.7464644248364802,3.581244401158104,3.1703464316374794,0.8669291620556712,2.146191870660213,3.5812443765387645,3.5815150827035422,3.546971537,3.277704054537524,3.5470270384861906,3.567643156890763,3.5590830683761303,3.556316857,3.7424529063500884,3.7459200304756854,3.2588581885300023,3.734793517917562,5.101908131380341,3.6277098681628552,3.546971537,3.258858291185631,3.609543488802276,3.524601236040376,3.557979337242654,3.768056165066684,3.5851970466110687,3.280914353943734,3.5911042164123628,3.546709109547729,3.57881287,3.546971491,3.5505421369280716,2.0436274836801664,3.625930917310902,3.755264610499419,2.2544140600584504
M_Jojod,01.e,"Jojoba seed, market of",tonnes,,,,,,,,,,,,,,,,,,,2.0782694284095973,,,,,,,,,,,,,2.0782694284095973,,,,,,,,,,,,,,,,,,
